Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Boston, MA metro area",12-May,$340K,5.00%,3.00%,"4,273",30.60%,28.70%,"6,350",-6.10%,-6.20%,"25,764",3.10%,-6.70%,93,-15,-4,97.20%,0.60%,0.80%
"Boston, MA metro area",12-Apr,$324K,6.10%,2.20%,"3,271",13.00%,18.40%,"6,764",-5.90%,-7.50%,"24,988",10.00%,-2.70%,108,-37,-17,96.60%,0.40%,0.40%
"Boston, MA metro area",12-Jun,$375K,10.30%,3.70%,"5,284",23.70%,16.80%,"5,459",-14.00%,-9.60%,"24,472",-5.00%,-10.20%,93,0,0,97.30%,0.10%,0.70%
"Boston, MA metro area",13-May,$365K,4.30%,7.40%,"4,632",34.70%,8.40%,"7,763",-1.10%,22.30%,"23,043",10.10%,-10.60%,78,-7,-15,98.60%,0.40%,1.40%
"Boston, MA metro area",12-Mar,$305K,5.20%,1.70%,"2,895",33.50%,16.00%,"7,188",48.70%,-0.20%,"22,710",15.60%,1.10%,145,2,-3,96.20%,0.50%,0.40%
"Boston, MA metro area",12-Jul,$360K,-4.00%,1.40%,"4,756",-10.00%,26.90%,"4,342",-20.50%,-3.70%,"22,699",-7.20%,-13.00%,95,2,-3,97.30%,-0.10%,0.70%
"Boston, MA metro area",13-Jun,$390K,6.80%,4.00%,"5,621",21.40%,6.40%,"6,142",-20.90%,12.50%,"22,625",-1.80%,-7.50%,78,0,-15,99.00%,0.40%,1.70%
"Boston, MA metro area",14-Jun,$412K,7.00%,5.60%,"5,631",26.50%,0.20%,"6,683",-13.50%,8.80%,"22,171",0.60%,-2.00%,75,2,-3,99.50%,0.20%,0.50%
"Boston, MA metro area",14-May,$385K,4.90%,5.50%,"4,453",34.30%,-3.90%,"7,725",3.80%,-0.50%,"22,040",11.20%,-4.40%,73,-4,-5,99.30%,0.40%,0.70%
"Boston, MA metro area",14-Jul,$405K,-1.70%,4.90%,"5,615",-0.30%,-4.40%,"5,277",-21.00%,3.90%,"20,946",-5.50%,0.60%,75,0,-5,99.20%,-0.30%,0.20%
"Boston, MA metro area",13-Apr,$350K,7.70%,8.10%,"3,440",20.90%,5.20%,"7,846",39.70%,16.00%,"20,922",20.30%,-16.30%,85,-27,-23,98.20%,0.90%,1.60%
"Boston, MA metro area",13-Jul,$386K,-1.00%,7.20%,"5,872",4.50%,23.50%,"5,078",-17.30%,17.00%,"20,811",-8.00%,-8.30%,80,2,-15,99.00%,0.00%,1.80%
"Boston, MA metro area",12-Sep,$335K,-5.60%,2.00%,"3,429",-33.20%,6.60%,"5,179",23.10%,-1.70%,"20,738",1.60%,-14.80%,105,3,-15,97.20%,-0.10%,0.90%
"Boston, MA metro area",12-Aug,$355K,-1.40%,1.50%,"5,134",7.90%,25.90%,"4,207",-3.10%,-3.30%,"20,421",-10.00%,-16.40%,102,7,-4,97.20%,0.00%,0.90%
"Boston, MA metro area",14-Apr,$367K,1.60%,4.90%,"3,315",19.50%,-3.60%,"7,444",25.70%,-5.10%,"19,814",18.90%,-5.30%,77,-18,-8,98.90%,0.50%,0.70%
"Boston, MA metro area",12-Oct,$325K,-3.00%,8.30%,"3,472",1.30%,26.00%,"4,169",-19.50%,1.20%,"19,804",-4.50%,-15.50%,105,0,-20,97.20%,0.00%,1.40%
"Boston, MA metro area",12-Feb,$290K,-4.30%,0.20%,"2,169",2.50%,31.50%,"4,834",29.20%,32.90%,"19,651",9.30%,3.00%,143,10,-4,95.70%,-0.10%,0.00%
"Boston, MA metro area",13-Sep,$370K,-3.90%,10.40%,"4,162",-26.80%,21.40%,"5,863",22.60%,13.20%,"19,428",2.60%,-6.30%,85,3,-20,98.50%,-0.30%,1.40%
"Boston, MA metro area",14-Sep,$377K,-5.70%,2.00%,"4,085",-21.70%,-1.90%,"5,828",35.00%,-0.60%,"19,247",1.80%,-0.90%,83,5,-2,98.40%,-0.60%,-0.20%
"Boston, MA metro area",13-Aug,$385K,-0.30%,8.50%,"5,685",-3.20%,10.70%,"4,782",-5.80%,13.70%,"18,933",-9.00%,-7.30%,82,2,-20,98.80%,-0.20%,1.60%
"Boston, MA metro area",14-Aug,$400K,-1.30%,3.90%,"5,220",-7.00%,-8.20%,"4,318",-18.20%,-9.70%,"18,908",-9.70%,-0.10%,78,3,-4,98.90%,-0.30%,0.10%
"Boston, MA metro area",13-Oct,$360K,-2.70%,10.80%,"3,953",-5.00%,13.90%,"4,886",-16.70%,17.20%,"18,806",-3.20%,-5.00%,79,-6,-26,98.30%,-0.20%,1.20%
"Boston, MA metro area",14-Oct,$370K,-1.90%,2.80%,"4,009",-1.90%,1.40%,"4,921",-15.60%,0.70%,"18,622",-3.20%,-1.00%,83,0,4,98.20%,-0.20%,-0.20%
"Boston, MA metro area",12-Jan,$303K,-3.80%,-2.30%,"2,117",-32.00%,1.40%,"3,742",89.10%,15.10%,"17,979",2.00%,-1.60%,133,6,1,95.70%,-0.10%,0.00%
"Boston, MA metro area",13-Mar,$325K,2.50%,6.60%,"2,845",35.70%,-1.70%,"5,616",39.90%,-21.90%,"17,386",13.10%,-23.40%,112,-14,-33,97.30%,0.40%,1.20%
"Boston, MA metro area",12-Nov,$337K,3.80%,4.70%,"3,822",10.10%,32.50%,"2,815",-32.50%,-3.20%,"17,120",-13.60%,-18.00%,99,-6,-22,97.20%,0.10%,1.20%
"Boston, MA metro area",14-Mar,$361K,6.30%,11.20%,"2,775",34.70%,-2.50%,"5,924",49.40%,5.50%,"16,663",16.20%,-4.20%,95,-19,-17,98.40%,0.70%,1.10%
